#				
#   VizieR Astronomical Server vizier.u-strasbg.fr				
#    Date: 2021-04-23T06:47:17 [V1.99+ (14-Oct-2013)]				
#   In case of problem, please report to:	cds-question@unistra.fr			
#				
#				
#Coosys	J2000:	eq_FK5 J2000		
#INFO	votable-version=1.99+ (14-Oct-2013)			
#INFO	-ref=VIZ60826c0f15d4da			
#INFO	-out.max=9999			
#INFO	queryParameters=9			
#-oc.form=dec				
#-out.max=9999				
#-nav=cat:J/AJ/159/60&tab:{J/AJ/159/60/table1}&key:source=J/AJ/159/60/table1&HTTPPRM:&				
#-source=J/AJ/159/60/table1				
#-order=I				
#-out=TIC				
#-out=Sec				
#-out=Outbst				
#-out=Flare				
#				
				
#RESOURCE=yCat_51590060				
#Name: J/AJ/159/60				
#Title: 8695 flares from 1228 stars in TESS sectors 1 & 2 (Gunther+, 2020)				
#Table	J_AJ_159_60_table1:			
5656273	2	20	1	
5656273	2	21	1	
5656273	2	22	1	
5656273	2	23	1	
5656273	2	24	1	
5676537	2	1	1	
5676537	2	3	1	
5676537	2	4	1	
5676537	2	4	2	
5676537	2	5	1	
5676537	2	6	1	
5676537	2	7	1	
5676537	2	8	1	
5676537	2	8	2	
5676537	2	9	1	
5676537	2	10	1	
5676537	2	11	1	
5676537	2	12	1	
5725904	2	1	1	
5725904	2	2	1	
5727213	2	1	1	
5727213	2	2	1	
5727213	2	3	1	
5727213	2	4	1	
5727213	2	5	1	
5727213	2	5	2	
5727213	2	6	1	
5727213	2	7	1	
5727213	2	7	2	
5727213	2	8	1	
5727213	2	8	2	
5727213	2	10	1	
5727213	2	10	2	
5727213	2	11	1	
5727213	2	12	1	
5727213	2	12	2	
5727213	2	12	3	
5727213	2	13	1	
5727213	2	13	2	
5727213	2	13	3	
5727213	2	14	1	
5727213	2	14	2	
5727213	2	15	1	
5727213	2	15	2	
5727213	2	15	3	
5727213	2	15	4	
5727213	2	17	1	
5796048	2	1	1	
5796048	2	2	1	
5796048	2	3	1	
5796048	2	4	1	
5796048	2	4	2	
5796048	2	4	3	
5796048	2	5	1	
5796048	2	6	1	
5796048	2	7	1	
5796048	2	8	1	
5796048	2	9	1	
5796048	2	10	1	
5796048	2	10	2	
5796048	2	11	1	
5796048	2	14	1	
5796048	2	15	1	
5796211	2	1	1	
5796211	2	1	2	
7151484	2	1	1	
7151484	2	1	2	
7151484	2	1	3	
7151484	2	2	1	
7151484	2	3	1	
7151484	2	4	1	
7151484	2	5	1	
7151484	2	5	2	
7151484	2	6	1	
7151484	2	6	2	
7151484	2	7	1	
7151484	2	7	2	
7151484	2	8	1	
7151484	2	8	2	
7151484	2	9	1	
7151484	2	10	1	
7151484	2	11	1	
7151484	2	11	2	
7151484	2	12	1	
7151484	2	12	2	
7151484	2	12	3	
7151484	2	14	1	
7151484	2	15	1	
7151484	2	15	2	
7151484	2	16	1	
7151484	2	17	1	
7151484	2	19	1	
7151484	2	21	1	
7151484	2	22	1	
7151484	2	22	2	
7151484	2	22	3	
7151484	2	22	4	
7151484	2	23	1	
7151484	2	23	2	
7151484	2	24	1	
7151484	2	24	2	
7151484	2	25	1	
7151484	2	26	1	
7151484	2	26	2	
7151484	2	27	1	
8962122	2	1	1	
8991030	2	3	1	
8991030	2	4	1	
8991030	2	5	1	
8991030	2	6	1	
8991030	2	6	2	
9003103	2	1	1	
9072094	2	1	1	
9072094	2	2	1	
9072094	2	3	1	
9072094	2	4	1	
9072094	2	5	1	
9072094	2	5	2	
9102812	2	1	1	
9210746	2	1	1	
9210746	2	2	1	
9210746	2	3	1	
9210746	2	4	1	
9210746	2	5	1	
9210746	2	6	1	
9210746	2	7	1	
9210746	2	7	2	
9210746	2	8	1	
9210746	2	9	1	
9210746	2	9	2	
9210746	2	9	3	
9210746	2	10	1	
9210746	2	10	2	
9210746	2	12	1	
9210746	2	12	2	
9210746	2	13	1	
9210746	2	14	1	
9210746	2	16	1	
9210746	2	17	1	
9210746	2	18	1	
9210746	2	18	2	
9210746	2	19	1	
9210746	2	19	2	
9210746	2	20	1	
9210746	2	21	1	
9210746	2	21	2	
9210746	2	22	1	
9210746	2	22	2	
9210746	2	24	1	
9210746	2	24	2	
9210746	2	25	1	
9210746	2	27	1	
9210746	2	28	1	
9210746	2	29	1	
9210746	2	30	1	
9210746	2	31	1	
9210746	2	32	1	
9210746	2	33	1	
9210746	2	33	2	
9664841	2	1	1	
9708387	2	1	1	
9708387	2	1	2	
9708387	2	2	1	
9708387	2	3	1	
9708387	2	3	2	
12359032	2	2	1	
12359032	2	3	1	
12359032	2	4	1	
12359032	2	5	1	
12359032	2	7	1	
12359032	2	7	2	
12359079	2	1	1	
12377787	2	1	1	
12393800	2	1	1	
12393800	2	1	2	
12393800	2	2	1	
12393800	2	3	1	
12421477	2	1	1	
12421477	2	2	1	
12421477	2	5	1	
12421477	2	5	2	
12421477	2	7	1	
12421477	2	7	2	
12421477	2	7	3	
12421477	2	7	4	
12421477	2	8	1	
12421477	2	8	2	
12421477	2	9	1	
12423835	2	1	1	
12423835	2	1	2	
12423835	2	1	3	
12423835	2	2	1	
12423835	2	3	1	
12423835	2	3	2	
12423835	2	4	1	
12423835	2	5	1	
12423835	2	6	1	
12423835	2	6	2	
12423835	2	7	1	
12423835	2	8	1	
12423835	2	8	2	
12423835	2	8	3	
12423835	2	9	1	
12423835	2	10	1	
12423835	2	10	2	
12423835	2	11	1	
12423835	2	12	1	
12423835	2	12	2	
12423835	2	13	1	
12471629	2	1	1	
12471629	2	2	1	
12471629	2	3	1	
12471629	2	4	1	
12471629	2	4	2	
12474920	2	1	1	
12474920	2	2	1	
12474920	2	4	1	
12474920	2	5	1	
12509218	2	1	1	
12509218	2	2	1	
12509218	2	3	1	
12509218	2	4	1	
12509218	2	5	1	
12509218	2	7	1	
12509218	2	7	2	
12509218	2	8	1	
12509218	2	8	2	
12509218	2	8	3	
12509218	2	10	1	
12509218	2	11	1	
12509218	2	12	1	
12509218	2	13	1	
12509218	2	14	1	
12509218	2	15	1	
12509218	2	16	1	
12509218	2	17	1	
12509218	2	18	1	
12509218	2	19	1	
12509218	2	20	1	
12509218	2	21	1	
12509218	2	22	1	
12509218	2	23	1	
12509218	2	24	1	
12931952	2	1	1	
12931952	2	2	1	
12931952	2	3	1	
12996375	2	1	1	
12996375	2	1	2	
13060575	2	1	1	
13060575	2	2	1	
20891744	2	1	1	
20891744	2	2	1	
20891744	2	2	2	
20891744	2	3	1	
20892891	2	1	1	
20892891	2	2	1	
20892891	2	3	1	
20892891	2	4	1	
20892891	2	5	1	
20892891	2	6	1	
20892891	2	7	1	
20892891	2	7	2	
20892891	2	8	1	
20892891	2	9	1	
24292848	1	1	1	
25078924	1	1	1	
25078924	1	1	2	
25078924	2	1	1	
25081629	1	1	1	
25081629	2	1	1	
25081629	2	2	1	
25081629	2	2	2	
25118964	1	1	1	
25118964	1	2	1	
25118964	1	4	1	
25118964	1	6	1	
25118964	1	6	2	
25118964	1	10	1	
25118964	1	11	1	
25118964	1	12	1	
25118964	1	12	2	
25118964	1	13	1	
25118964	2	1	1	
25118964	2	2	1	
25118964	2	3	1	
25118964	2	4	1	
25118964	2	5	1	
25118964	2	6	1	
25118964	2	6	2	
25118964	2	7	1	
25118964	2	7	2	
25118964	2	8	1	
25118964	2	8	2	
25118964	2	10	1	
25118964	2	11	1	
25118964	2	11	2	
25118964	2	12	1	
25118964	2	13	1	
25118964	2	13	2	
25118964	2	14	1	
25132694	2	1	1	
25132999	1	1	1	
25132999	2	1	1	
25132999	2	2	1	
25132999	2	3	1	
25132999	2	3	2	
25132999	2	4	1	
25132999	2	4	2	
25132999	2	4	3	
25132999	2	6	1	
25132999	2	7	1	
25132999	2	8	1	
25153167	1	1	1	
25200252	1	1	1	
25200252	1	2	1	
25200252	1	3	1	
25200252	1	4	1	
25200252	1	4	2	
25200252	1	4	3	
25200252	1	5	1	
25200252	1	6	1	
25200252	1	7	1	
25200252	1	8	1	
25200252	1	10	1	
25200252	1	11	1	
25200252	1	12	1	
25200252	1	12	2	
25200252	1	12	3	
25200252	1	13	1	
25200252	1	13	2	
25200252	1	14	1	
25200252	1	15	1	
25243422	1	3	1	
25243422	1	4	1	
25243422	1	5	1	
25243422	1	6	1	
25243422	1	7	1	
25243422	1	9	1	
25243422	1	10	1	
25243422	1	11	1	
25353710	1	2	1	
25372748	1	1	1	
25372748	1	2	1	
25374751	1	2	1	
25374751	1	3	1	
25374751	1	5	1	
27955268	2	1	1	
27955268	2	2	1	
27955268	2	4	1	
29257288	1	1	1	
29257288	1	2	1	
29257288	1	3	1	
29430569	1	1	1	
29430569	1	1	2	
29430569	1	2	1	
29430569	1	3	1	
29430569	1	4	1	
29430569	1	4	2	
29430569	1	4	3	
29430569	1	5	1	
29430569	1	6	1	
29430569	1	8	1	
29430569	1	8	2	
29477348	1	1	1	
29477348	1	1	2	
29671923	1	1	1	
29671923	1	3	1	
29671923	1	4	1	
29671923	1	6	1	
29671923	1	7	1	
29671923	1	7	2	
29779873	1	1	1	
29779873	1	3	1	
29779873	1	4	1	
29779873	1	5	1	
29779873	1	6	1	
29779873	1	7	1	
29779873	1	9	1	
29779873	1	10	1	
29779873	1	11	1	
29779873	1	14	1	
29779873	1	14	2	
29779873	1	15	1	
29779873	1	16	1	
29779873	1	16	2	
29779873	2	1	1	
29779873	2	2	1	
29779873	2	2	2	
29779873	2	3	1	
29779873	2	3	2	
29779873	2	6	1	
29779873	2	6	2	
29779873	2	7	1	
29779873	2	8	1	
29779873	2	9	1	
29779873	2	10	1	
29779873	2	12	1	
29779873	2	13	1	
29780677	1	2	1	
29780677	1	2	2	
29780677	1	2	3	
29780677	1	3	1	
29780677	1	3	2	
29780677	2	1	1	
29780677	2	2	1	
29780677	2	3	1	
29780677	2	3	2	
29780677	2	4	1	
29780677	2	4	2	
29781591	1	1	1	
29830830	1	1	1	
29830830	1	2	1	
29830830	1	3	1	
29830830	1	4	1	
29830830	1	5	1	
29830830	2	1	1	
29830830	2	2	1	
29830830	2	3	1	
30186108	1	1	1	
30186108	2	1	1	
30186108	2	2	1	
30186108	2	3	1	
30527625	1	1	1	
31108599	1	2	1	
31108599	1	3	1	
31108599	1	3	2	
31381302	1	1	1	
31381302	1	2	1	
31381302	1	3	1	
31381302	1	4	1	
31381302	2	1	1	
31381302	2	2	1	
31381302	2	5	1	
31633878	1	1	1	
31633878	1	2	1	
31633878	1	3	1	
31633878	1	4	1	
31633878	2	2	1	
31740375	1	2	1	
31740375	1	5	1	
31740375	1	5	2	
31740375	1	7	1	
31740375	1	8	1	
31740375	1	9	1	
31740375	1	9	2	
31740375	1	11	1	
31740375	1	13	1	
31740375	1	13	2	
31740375	1	15	1	
31740375	2	2	1	
31740375	2	3	1	
31740375	2	4	1	
31740375	2	4	2	
31740375	2	5	1	
31740375	2	6	1	
31740375	2	9	1	
31740375	2	10	1	
31740375	2	10	2	
31740375	2	13	1	
31740375	2	14	1	
31740375	2	15	1	
31740375	2	16	1	
31740375	2	17	1	
31740375	2	18	1	
31747041	2	1	1	
31779649	1	1	1	
31779649	2	1	1	
31780319	1	1	1	
31780319	1	2	1	
31780319	2	1	1	
31780319	2	1	2	
31780319	2	2	1	
31780319	2	3	1	
31780319	2	4	1	
31780319	2	5	1	
31798493	1	1	1	
31798493	1	2	1	
31798493	1	3	1	
31798493	1	5	1	
31798493	2	1	1	
31798493	2	2	1	
31798732	2	1	1	
31798732	2	1	2	
31850842	2	1	1	
31852565	1	1	1	
31852565	1	1	2	
31852565	2	1	1	
31852565	2	2	1	
31852565	2	3	1	
31945753	2	1	1	
31945753	2	1	2	
31945753	2	2	1	
32032816	2	1	1	
32032816	2	2	1	
32032816	2	3	1	
32032816	2	4	1	
32032816	2	5	1	
32036415	1	1	1	
32036415	1	1	2	
32036415	1	2	1	
32036415	1	3	1	
32036415	1	3	2	
32036415	2	1	1	
32051273	1	2	1	
32051273	1	3	1	
32052779	1	1	1	
32052779	1	2	1	
32052779	1	3	1	
32052779	1	4	1	
32052779	1	5	1	
32052779	1	6	1	
32052779	1	7	1	
32052779	1	8	1	
32052779	2	1	1	
32052779	2	5	1	
32052779	2	6	1	
32068500	1	2	1	
32068500	1	3	1	
32068500	2	1	1	
32068500	2	2	1	
32068898	1	1	1	
32068898	2	1	1	
32068898	2	1	2	
32068898	2	1	3	
32068898	2	3	1	
32089522	1	2	1	
32089522	2	1	1	
32089522	2	2	1	
32089522	2	3	1	
32090581	1	1	1	
32090581	1	3	1	
32090581	1	4	1	
32090581	1	5	1	
32090581	1	6	1	
32090581	2	1	1	
32090581	2	2	1	
32090581	2	3	1	
32090581	2	4	1	
32090581	2	5	1	
32090581	2	6	1	
32090581	2	7	1	
32090581	2	8	1	
32090583	1	3	1	
32090583	1	4	1	
32090583	1	5	1	
32090583	1	5	2	
32090583	1	6	1	
32090583	1	7	1	
32090583	1	8	1	
32090583	1	9	1	
32090583	1	9	2	
32090583	1	10	1	
32090583	1	10	2	
32090583	1	12	1	
32090583	2	1	1	
32090583	2	2	1	
32090583	2	3	1	
32090583	2	4	1	
32090583	2	5	1	
32090583	2	6	1	
32090583	2	7	1	
32090583	2	7	2	
32090583	2	8	1	
32150630	1	1	1	
32150630	1	1	2	
32150630	2	1	1	
32178036	1	1	1	
32178036	1	2	1	
32178036	1	2	2	
33714944	1	1	1	
33714944	1	2	1	
33714944	1	3	1	
33714944	1	4	1	
33837062	1	1	1	
33837062	1	2	1	
33837062	1	2	2	
33837062	2	1	1	
33837062	2	2	1	
33837062	2	3	1	
33837062	2	3	2	
33837062	2	3	3	
33864387	2	2	1	
33864387	2	3	1	
33864387	2	4	1	
33864387	2	5	1	
33864387	2	7	1	
33864387	2	8	1	
33878971	1	2	1	
33878971	1	2	2	
33878971	1	3	1	
33878971	1	4	1	
33878971	1	5	1	
33878971	1	7	1	
33878971	2	1	1	
33878971	2	2	1	
33878971	2	2	2	
33878971	2	3	1	
33878971	2	4	1	
33878971	2	4	2	
33878971	2	5	1	
33878971	2	6	1	
33878971	2	7	1	
33878971	2	8	1	
33878971	2	9	1	
33878971	2	11	1	
33880418	1	1	1	
33880418	1	2	1	
33880418	2	1	1	
33880418	2	2	1	
33881250	1	1	1	
33881250	1	3	1	
33881250	1	4	1	
33881250	2	1	1	
33881250	2	1	2	
33949202	2	1	1	
33949202	2	2	1	
33949202	2	4	1	
33949202	2	5	1	
33949202	2	5	2	
33949202	2	6	1	
33949202	2	8	1	
33949202	2	10	1	
33949202	2	11	1	
33949202	2	12	1	
33949202	2	13	1	
33949202	2	14	1	
33949202	2	16	1	
33949202	2	17	1	
33949202	2	19	1	
33949202	2	21	1	
34014829	2	1	1	
38461453	1	2	1	
38461453	1	2	2	
38461453	1	3	1	
38461453	2	1	1	
38461453	2	2	1	
38461453	2	3	1	
38462407	1	1	1	
38462407	1	2	1	
38462407	2	1	1	
38462407	2	2	1	
38462407	2	2	2	
38515801	1	2	1	
38515801	1	2	2	
38515801	2	1	1	
38518773	1	1	1	
38518773	1	2	1	
38518773	1	3	1	
38518773	1	4	1	
38518773	1	5	1	
38518773	2	1	1	
38518773	2	4	1	
38518773	2	5	1	
38585053	1	1	1	
38585053	2	1	1	
38586438	1	1	1	
38586438	1	2	1	
38586438	1	3	1	
38586438	1	3	2	
38586438	1	5	1	
38586438	1	5	2	
38586438	1	7	1	
38586438	1	8	1	
38586438	1	8	2	
38586438	2	1	1	
38586438	2	2	1	
38586438	2	2	2	
38586438	2	3	1	
38586438	2	4	1	
38586438	2	4	2	
38602305	2	1	1	
38633243	1	1	1	
38633243	2	1	1	
38633462	1	2	1	
38633462	1	3	1	
38633462	1	5	1	
38633462	1	6	1	
38633462	2	1	1	
38633462	2	2	1	
38633462	2	3	1	
38633462	2	4	1	
38633462	2	5	1	
38633462	2	7	1	
38633462	2	8	1	
38634790	2	1	1	
38634790	2	2	1	
38634790	2	2	2	
38634790	2	3	1	
38634790	2	4	1	
38680132	1	2	1	
38680132	1	2	2	
38680132	2	1	1	
38680132	2	2	1	
38681518	1	1	1	
38681518	1	2	1	
38681518	1	3	1	
38681518	2	1	1	
38681518	2	2	1	
38698751	1	1	1	
38698751	1	2	1	
38698751	1	2	2	
38698751	1	3	1	
38698751	2	1	1	
38759628	1	1	1	
38762657	1	1	1	
38820496	1	2	1	
38820496	1	3	1	
38820496	1	4	1	
38820496	2	1	1	
38822853	1	1	1	
38824355	2	1	1	
38937499	2	1	1	
40183989	2	1	1	
40716679	1	2	1	
40716679	1	4	1	
41112771	1	1	1	
41259321	2	2	1	
41463262	2	1	1	
41463262	2	2	1	
41463262	2	2	2	
41595212	1	1	1	
41789657	2	1	1	
41858253	2	1	1	
41858253	2	1	2	
41862041	2	1	1	
41862041	2	2	1	
41862041	2	4	1	
41862041	2	4	2	
41862291	2	1	1	
41898474	2	1	1	
41898474	2	1	2	
41898474	2	2	1	
41898474	2	3	1	
41898474	2	3	2	
41898474	2	4	1	
41898474	2	4	2	
41898474	2	7	1	
41898474	2	7	2	
47337894	2	1	1	
47337894	2	1	2	
47337894	2	3	1	
47337894	2	4	1	
47337894	2	7	1	
47423224	2	1	1	
47423224	2	3	1	
47423224	2	4	1	
47423224	2	6	1	
47423224	2	7	1	
47423224	2	9	1	
47423224	2	11	1	
47423224	2	11	2	
47423224	2	12	1	
47423224	2	12	2	
47423224	2	12	3	
47423224	2	13	1	
47423224	2	13	2	
47423224	2	17	1	
47423224	2	18	1	
47423224	2	19	1	
47423224	2	20	1	
47423224	2	21	1	
47423224	2	21	2	
47423224	2	22	1	
47423224	2	23	1	
47423224	2	25	1	
47423224	2	26	1	
47423224	2	27	1	
47423224	2	28	1	
47423224	2	29	1	
47424649	2	1	1	
47424649	2	2	1	
47424649	2	3	1	
47424649	2	3	2	
47424649	2	4	1	
47424649	2	5	1	
47424649	2	6	1	
47424649	2	7	1	
47424649	2	8	1	
47424649	2	8	2	
47424649	2	9	1	
47424873	2	1	1	
47424873	2	1	2	
47424873	2	2	1	
47424873	2	3	1	
47424873	2	4	1	
47424873	2	5	1	
47424873	2	5	2	
47424873	2	6	1	
47424873	2	8	1	
47424873	2	9	1	
47424873	2	10	1	
47424873	2	11	1	
47424873	2	12	1	
47424873	2	15	1	
47424873	2	17	1	
47424873	2	18	1	
47424873	2	18	2	
47424873	2	19	1	
47424873	2	20	1	
47465993	2	1	1	
47465993	2	1	2	
47465993	2	2	1	
47465993	2	3	1	
47465993	2	4	1	
47465993	2	5	1	
47465993	2	8	1	
47465993	2	9	1	
47465993	2	10	1	
47465993	2	10	2	
47465993	2	11	1	
47465993	2	12	1	
47465993	2	12	2	
49619607	2	1	1	
49619607	2	2	1	
49619607	2	3	1	
49619607	2	3	2	
49619607	2	4	1	
49619607	2	5	1	
49619607	2	6	1	
49619607	2	7	1	
49619607	2	9	1	
49619607	2	10	1	
49619607	2	12	1	
49619607	2	12	2	
49619607	2	12	3	
49619607	2	13	1	
49619607	2	15	1	
49619607	2	16	1	
49619607	2	17	1	
49619607	2	17	2	
49619607	2	18	1	
49619607	2	19	1	
49619607	2	20	1	
49619607	2	20	2	
49619607	2	23	1	
49619607	2	24	1	
49619607	2	24	2	
49619607	2	26	1	
49619607	2	27	1	
49619607	2	28	1	
49619607	2	29	1	
49619607	2	30	1	
49619607	2	31	1	
49619607	2	31	2	
49622317	2	1	1	
49622317	2	1	2	
49622317	2	2	1	
49622317	2	3	1	
49678165	2	1	1	
49687321	2	1	1	
49687321	2	4	1	
49687321	2	5	1	
49687321	2	7	1	
49687321	2	8	1	
49687321	2	9	1	
50232454	2	1	1	
50232454	2	2	1	
50232454	2	3	1	
50232454	2	4	1	
50232454	2	4	2	
50274085	1	1	1	
50274085	1	1	2	
50274085	2	1	1	
50274085	2	1	2	
50274085	2	2	1	
50274085	2	3	1	
50311775	2	1	1	
50311775	2	3	1	
50311775	2	5	1	
50311775	2	5	2	
50311775	2	6	1	
50311775	2	7	1	
50311775	2	7	2	
50311775	2	7	3	
50311775	2	9	1	
50311775	2	10	1	
50311775	2	11	1	
50311775	2	12	1	
50311775	2	13	1	
50311775	2	14	1	
50313171	2	1	1	
50345701	1	1	1	
50345701	1	2	1	
50345701	1	3	1	
50345701	1	5	1	
50345701	1	6	1	
50345701	1	7	1	
50345701	1	8	1	
50472380	1	1	1	
50472380	1	1	2	
50472380	1	1	3	
50472380	1	2	1	
50472380	1	4	1	
50472380	2	1	1	
50472380	2	2	1	
50472380	2	3	1	
50472380	2	4	1	
51993161	2	1	1	
52019004	1	1	1	
52019004	1	1	2	
52019004	1	2	1	
52019004	1	3	1	
52019004	1	4	1	
52019004	1	6	1	
52019004	1	7	1	
52019004	1	8	1	
52019004	1	9	1	
52019004	1	10	1	
52019004	1	11	1	
52019004	1	12	1	
52019004	1	12	2	
52019004	2	1	1	
52019004	2	2	1	
52019004	2	5	1	
52019004	2	6	1	
52019004	2	7	1	
52019004	2	8	1	
52019004	2	9	1	
52019004	2	11	1	
52019004	2	13	1	
52019004	2	14	1	
52019004	2	15	1	
52019395	1	2	1	
52194976	2	1	1	
52242947	1	2	1	
52242947	1	2	2	
52242947	1	2	3	
52242947	1	4	1	
52256020	1	1	1	
52256020	2	1	1	
52284854	1	1	1	
52284854	1	2	1	
52284854	2	1	1	
52382634	1	1	1	
52382634	2	1	1	
52382634	2	2	1	
53726408	1	1	1	
53726408	1	2	1	
53726408	1	3	1	
53726408	1	4	1	
53726408	1	5	1	
53726408	1	6	1	
53726408	1	7	1	
53726408	1	8	1	
53726408	1	9	1	
53752822	1	1	1	
53842250	1	2	1	
53842250	1	3	1	
53842250	1	3	2	
53842250	1	3	3	
53842250	1	4	1	
53842668	1	1	1	
53842668	1	2	1	
53842668	1	3	1	
53842668	1	4	1	
53851254	1	1	1	
53851254	1	2	1	
53851254	1	3	1	
53851254	1	3	2	
53851254	1	3	3	
53851254	1	4	1	
53851254	1	6	1	
53851254	1	7	1	
53941148	1	1	1	
53976470	1	1	1	
55269690	1	2	1	
55269690	1	3	1	
55269690	1	6	1	
55269690	1	8	1	
55269690	1	9	1	
55269690	1	10	1	
55269690	1	11	1	
55269690	1	12	1	
55269690	1	13	1	
55269690	1	14	1	
55269690	1	15	1	
55269690	1	16	1	
55269690	1	17	1	
55269690	2	2	1	
55269690	2	2	2	
55269690	2	2	3	
55269690	2	3	1	
55269690	2	5	1	
55269690	2	5	2	
55269690	2	6	1	
55269690	2	11	1	
55269690	2	11	2	
55269690	2	12	1	
55269690	2	12	2	
55269690	2	12	3	
55269690	2	13	1	
55269690	2	14	1	
55269690	2	14	2	
55291546	1	1	1	
55453391	1	2	1	
55453391	1	2	2	
55453391	1	3	1	
55453391	2	1	1	
55453391	2	1	2	
55453391	2	1	3	
55453391	2	2	1	
55525518	1	1	1	
55525518	2	1	1	
55604222	1	1	1	
55604222	2	1	1	
55663720	1	2	1	
55663720	1	3	1	
55663720	2	1	1	
55663720	2	2	1	
55663720	2	3	1	
55663720	2	4	1	
55744694	1	1	1	
55744694	1	1	2	
55744694	1	2	1	
55744694	1	3	1	
55744694	2	1	1	
55744694	2	2	1	
55744694	2	3	1	
55848120	2	1	1	
55848120	2	2	1	
55848120	2	3	1	
55848120	2	4	1	
55848120	2	4	2	
55848120	2	4	3	
55848120	2	5	1	
55848120	2	6	1	
55848120	2	7	1	
55848120	2	8	1	
61178249	1	1	1	
61178249	1	2	1	
61178260	1	1	1	
61708463	1	1	1	
61708463	1	1	2	
61708463	1	2	1	
61708463	1	3	1	
61708463	1	4	1	
61708463	1	5	1	
61708463	1	6	1	
66356853	2	1	1	
66356853	2	2	1	
66397732	2	1	1	
66397732	2	2	1	
66397732	2	3	1	
66397732	2	4	1	
66397732	2	5	1	
66397732	2	6	1	
66397732	2	7	1	
66397732	2	7	2	
66412342	2	1	1	
66412342	2	4	1	
66412342	2	5	1	
66438591	2	1	1	
66438591	2	2	1	
66472244	2	1	1	
66472244	2	1	2	
66472244	2	3	1	
66472244	2	3	2	
66472244	2	4	1	
66501697	2	1	1	
66501697	2	2	1	
66501697	2	3	1	
66501697	2	4	1	
66501697	2	4	2	
69814849	2	2	1	
69925469	2	1	1	
70742059	2	1	1	
70742090	2	1	1	
70742090	2	2	1	
70742090	2	3	1	
70742156	2	1	1	
70742156	2	2	1	
70744192	2	1	1	
70744273	2	1	1	
70744273	2	2	1	
70744273	2	2	2	
70744273	2	4	1	
70744273	2	4	2	
70744273	2	5	1	
70744273	2	6	1	
70744320	2	1	1	
70761819	2	1	1	
70763008	2	1	1	
70775324	2	1	1	
70775324	2	2	1	
